50 737
27 36 53
48 15 57
47 30 91
17 21 93
17 35 88
39 48 85
46 42 56
31 18 30
37 2 83
5 19 43
7 39 45
1 5 36
13 41 74
30 7 31
21 33 39
37 41 6
12 14 70
20 3 75
44 3 68
45 48 5
12 7 89
48 46 81
2 34 84
3 9 32
10 43 54
31 18 46
3 42 94
2 26 22
43 4 53
22 40 34
15 36 66
24 39 88
15 28 48
25 14 8
30 28 51
39 39 69
4 22 8
35 23 31
13 38 61
30 31 5
22 45 3
33 0 85
17 19 90
46 11 62
36 18 71
28 47 50
25 3 24
42 45 15
6 36 97
47 45 37
24 0 38
48 43 39
41 37 86
38 7 82
0 31 59
48 42 82
13 42 84
47 34 41
44 17 25
4 48 99
4 20 35
18 5 28
48 39 26
23 9 29
27 39 80
32 22 77
25 25 48
23 13 94
8 22 61
35 41 60
42 45 97
35 8 19
36 21 37
33 31 91
8 45 86
6 26 93
18 12 27
16 16 0
31 42 64
14 44 73
48 9 36
46 13 64
6 20 58
16 31 2
42 15 89
41 20 97
10 12 17
16 24 9
7 43 87
11 27 2
14 5 6
8 26 55
13 11 41
42 45 57
6 28 93
34 37 3
32 6 84
38 20 27
30 43 21
22 14 38
10 12 6
5 37 57
0 7 31
20 25 50
6 3 24
17 17 32
11 45 39
5 45 74
28 35 58
29 28 57
18 39 34
47 26 22
16 35 14
12 1 47
32 1 21
12 34 26
18 17 24
13 30 21
41 23 14
45 39 32
44 7 32
22 32 90
4 8 57
25 34 72
22 39 51
37 34 76
15 36 39
38 31 5
12 18 29
37 24 30
42 0 50
34 25 48
23 10 84
38 29 80
11 38 41
9 41 82
14 31 45
43 9 38
26 19 88
35 25 15
0 39 47
34 44 71
7 22 98
27 13 61
42 19 77
16 42 23
41 39 26
27 22 26
26 2 28
14 2 96
37 12 40
2 45 92
40 44 70
6 20 10
19 8 1
12 14 85
3 17 1
28 31 15
36 25 44
44 23 90
6 28 51
20 16 64
45 23 29
11 13 27
45 46 36
11 0 44
24 9 99
10 47 66
48 5 42
10 13 33
39 38 64
42 16 3
12 40 34
38 26 27
31 40 99
34 31 66
34 31 20
34 47 25
33 1 81
9 24 40
1 41 56
38 13 25
37 24 41
7 27 29
40 46 1
42 6 18
39 9 10
43 46 37
10 12 53
40 0 97
0 18 36
15 45 48
10 19 5
42 20 97
17 7 34
48 33 64
44 0 46
0 42 59
10 12 23
8 28 50
17 2 93
45 16 1
23 36 33
48 36 84
43 23 0
30 0 82
6 45 68
9 20 1
32 20 29
7 40 46
36 38 79
11 17 60
14 0 96
5 11 15
2 31 91
15 17 80
33 21 81
21 43 30
44 12 63
21 20 52
45 8 78
12 37 93
5 21 85
32 13 61
30 48 39
45 13 53
18 33 42
44 9 78
17 31 24
27 29 36
17 38 30
12 3 77
22 18 34
37 23 90
3 21 34
24 1 94
23 9 63
17 15 31
47 27 2
33 19 15
42 19 73
19 12 95
16 1 83
5 40 18
12 47 82
6 44 6
33 22 47
34 18 99
1 3 15
36 6 82
13 4 70
48 1 70
33 7 95
13 43 32
5 13 75
41 3 86
40 14 76
3 18 81
8 29 19
29 19 59
20 37 32
2 40 86
9 27 37
6 3 15
39 45 18
25 39 9
36 44 86
34 0 83
12 4 45
29 26 87
2 8 56
42 18 38
